timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-07-23,217335.23945400,221391.11000000,216868.45800000,219448.92275000,29793.99000000,30350.00000000,29730.00000000,30083.75000000,18292.78637000,18292.78637000
2023-07-22,218121.08671200,218830.70540000,216103.25446000,217335.31240000,29901.72000000,29999.00000000,29625.10000000,29794.00000000,14660.40467000,14660.40467000
2023-07-21,217379.08000000,219288.07682000,216841.75976400,218121.08671200,29800.00000000,30061.70000000,29726.34000000,29901.72000000,23881.40865000,23881.40865000
2023-07-20,218175.72326600,221883.20371600,215708.32481600,217379.08000000,29909.21000000,30417.46000000,29570.96000000,29800.00000000,37540.68193000,37540.68193000
2023-07-19,217810.48264400,220217.33591400,217101.59341600,218175.72326600,29859.14000000,30189.09000000,29761.96000000,29909.21000000,25657.36137000,25657.36137000
2023-07-18,219844.72774600,220587.09918800,215278.23520000,217810.40969800,30138.01000000,30239.78000000,29512.00000000,29859.13000000,30003.86010000,30003.86010000
2023-07-17,220530.34720000,221295.98841600,216352.00032000,219844.65480000,30232.00000000,30336.96000000,29659.20000000,30138.00000000,30882.76839000,30882.76839000
2023-07-16,220949.93259200,222058.27411600,219306.96983400,220530.27425400,30289.52000000,30441.46000000,30064.29000000,30231.99000000,15760.12810000,15760.12810000
2023-07-15,221113.91520000,221689.45914000,220296.92000000,220949.93259200,30312.00000000,30390.90000000,30200.00000000,30289.52000000,14118.55329000,14118.55329000
2023-07-14,229446.02615800,230728.19800000,218108.54000000,221113.98814600,31454.23000000,31630.00000000,29900.00000000,30312.01000000,60749.48424000,60749.48424000
2023-07-13,221609.94800000,231998.91732000,220668.94460000,229446.02615800,30380.00000000,31804.20000000,30251.00000000,31454.23000000,70772.51836000,70772.51836000
2023-07-12,223375.97066000,226010.41545000,220369.86600000,221609.94800000,30622.10000000,30983.25000000,30210.00000000,30380.00000000,38108.99669000,38108.99669000
2023-07-11,221840.23852200,224773.10539800,221026.38000000,223375.97066000,30411.57000000,30813.63000000,30300.00000000,30622.10000000,28476.83311000,28476.83311000
2023-07-10,220010.31516600,226466.54678800,218473.27000000,221840.23852200,30160.71000000,31045.78000000,29950.00000000,30411.57000000,41262.87652000,41262.87652000
2023-07-09,220914.26199800,222087.89019200,219283.84595200,220010.31516600,30284.63000000,30445.52000000,30061.12000000,30160.71000000,15388.50196000,15388.50196000
2023-07-08,221352.44862000,221659.62422600,219162.39086200,220914.26199800,30344.70000000,30386.81000000,30044.47000000,30284.63000000,13094.59042000,13094.59042000
2023-07-07,218075.13073200,222113.27540000,216657.06049200,221352.44862000,29895.42000000,30449.00000000,29701.02000000,30344.70000000,34070.53895000,34070.53895000
2023-07-06,222520.31408000,229779.90000000,217747.09257000,218075.20367800,30504.80000000,31500.00000000,29850.45000000,29895.43000000,71319.62610000,71319.62610000
2023-07-05,224429.45679200,225243.16942200,220296.92000000,222520.38702600,30766.52000000,30878.07000000,30200.00000000,30504.81000000,33215.67122000,33215.67122000
2023-07-04,227272.01652000,228690.74327400,223360.65200000,224429.38384600,31156.20000000,31350.69000000,30620.00000000,30766.51000000,33206.11943000,33206.11943000
